,sepal_width,sepal_length,petal_width,petal_length,k3_label,k5_label,k7_label,k9_label,k11_label,k13_label
1,5.1,3.5,1.4,0.2,1,0,5,3,10,1
2,4.9,3,1.4,0.2,1,0,0,2,3,2
3,4.7,3.2,1.3,0.2,1,0,0,2,3,2
4,4.6,3.1,1.5,0.2,1,0,0,2,3,2
5,5,3.6,1.4,0.2,1,0,5,3,10,1
6,5.4,3.9,1.7,0.4,1,0,5,3,1,9
7,4.6,3.4,1.4,0.3,1,0,0,2,3,2
8,5,3.4,1.5,0.2,1,0,5,3,10,1
9,4.4,2.9,1.4,0.2,1,0,0,2,3,2
10,4.9,3.1,1.5,0.1,1,0,0,2,3,2
11,5.4,3.7,1.5,0.2,1,0,5,3,10,1
12,4.8,3.4,1.6,0.2,1,0,0,2,3,2
13,4.8,3,1.4,0.1,1,0,0,2,3,2
14,4.3,3,1.1,0.1,1,0,0,2,3,2
15,5.8,4,1.2,0.2,1,0,5,3,1,9
16,5.7,4.4,1.5,0.4,1,0,5,3,1,9
17,5.4,3.9,1.3,0.4,1,0,5,3,1,9
18,5.1,3.5,1.4,0.3,1,0,5,3,10,1
19,5.7,3.8,1.7,0.3,1,0,5,3,1,9
20,5.1,3.8,1.5,0.3,1,0,5,3,10,1
21,5.4,3.4,1.7,0.2,1,0,5,3,10,1
22,5.1,3.7,1.5,0.4,1,0,5,3,10,1
23,4.6,3.6,1,0.2,1,0,0,2,3,2
24,5.1,3.3,1.7,0.5,1,0,5,3,10,1
25,4.8,3.4,1.9,0.2,1,0,0,2,3,2
26,5,3,1.6,0.2,1,0,0,2,3,2
27,5,3.4,1.6,0.4,1,0,5,3,10,1
28,5.2,3.5,1.5,0.2,1,0,5,3,10,1
29,5.2,3.4,1.4,0.2,1,0,5,3,10,1
30,4.7,3.2,1.6,0.2,1,0,0,2,3,2
31,4.8,3.1,1.6,0.2,1,0,0,2,3,2
32,5.4,3.4,1.5,0.4,1,0,5,3,10,1
33,5.2,4.1,1.5,0.1,1,0,5,3,1,9
34,5.5,4.2,1.4,0.2,1,0,5,3,1,9
35,4.9,3.1,1.5,0.1,1,0,0,2,3,2
36,5,3.2,1.2,0.2,1,0,0,2,3,2
37,5.5,3.5,1.3,0.2,1,0,5,3,10,1
38,4.9,3.1,1.5,0.1,1,0,0,2,3,2
39,4.4,3,1.3,0.2,1,0,0,2,3,2
40,5.1,3.4,1.5,0.2,1,0,5,3,10,1
41,5,3.5,1.3,0.3,1,0,5,3,10,1
42,4.5,2.3,1.3,0.3,1,0,0,2,3,2
43,4.4,3.2,1.3,0.2,1,0,0,2,3,2
44,5,3.5,1.6,0.6,1,0,5,3,10,1
45,5.1,3.8,1.9,0.4,1,0,5,3,10,1
46,4.8,3,1.4,0.3,1,0,0,2,3,2
47,5.1,3.8,1.6,0.2,1,0,5,3,10,1
48,4.6,3.2,1.4,0.2,1,0,0,2,3,2
49,5.3,3.7,1.5,0.2,1,0,5,3,10,1
50,5,3.3,4.35,0.2,0,3,3,4,4,12
51,7,3.2,4.7,1.4,0,1,1,5,7,8
52,6.4,3.2,4.5,1.5,0,1,1,5,7,8
53,6.9,3.1,4.9,1.5,2,2,2,0,9,5
54,5.5,2.3,4,1.3,0,3,3,4,4,3
55,6.5,2.8,4.6,1.5,0,1,1,5,7,8
56,5.7,2.8,4.5,1.3,0,1,6,8,6,7
57,6.3,3.3,4.7,1.6,0,1,1,5,7,8
58,4.9,2.4,3.3,1,0,3,3,7,8,10
59,6.6,2.9,4.6,1.3,0,1,1,5,7,8
60,5.2,2.7,3.9,1.4,0,3,3,4,4,3
61,5,2,3.5,1,0,3,3,7,8,10
62,5.9,3,4.2,1.5,0,1,6,8,6,7
63,6,2.2,4,1,0,3,3,4,4,3
64,6.1,2.9,4.7,1.4,0,1,6,8,6,7
65,5.6,2.9,3.6,1.3,0,3,3,4,4,3
66,6.7,3.1,4.4,1.4,0,1,1,5,7,8
67,5.6,3,4.5,1.5,0,1,6,8,6,7
68,5.8,2.7,4.1,1,0,3,3,4,4,3
69,6.2,2.2,4.5,1.5,0,1,6,1,5,6
70,5.6,2.5,3.9,1.1,0,3,3,4,4,3
71,5.9,3.2,4.8,1.8,0,1,6,8,6,7
72,6.1,2.8,4,1.3,0,3,3,4,4,3
73,6.3,2.5,4.9,1.5,0,1,6,1,5,6
74,6.1,2.8,4.7,1.3,0,1,6,8,6,7
75,6.4,2.9,4.3,1.3,0,1,1,5,7,8
76,6.6,3,4.4,1.4,0,1,1,5,7,8
77,6.8,2.8,4.8,1.4,0,1,1,5,7,8
78,6.7,3,4.35,1.7,0,1,1,5,7,8
79,6,2.9,4.5,1.5,0,1,6,8,6,7
80,5.7,2.6,3.5,1,0,3,3,7,8,10
81,5.5,2.4,3.8,1.1,0,3,3,7,8,10
82,5.5,2.4,3.7,1,0,3,3,7,8,10
83,5.8,2.7,3.9,1.2,0,3,3,4,4,3
84,6,2.7,5.1,1.6,0,1,6,1,5,6
85,5.4,3,4.5,1.5,0,3,3,4,4,3
86,6,3.4,4.5,1.6,0,1,6,8,6,7
87,6.7,3.1,4.7,1.5,0,1,1,5,7,8
88,6.3,2.3,4.4,1.3,0,1,6,8,6,7
89,5.6,3,4.1,1.3,0,3,3,4,4,3
90,5.5,2.5,4,1.3,0,3,3,4,4,3
91,5.5,2.6,4.4,1.2,0,3,3,4,4,3
92,6.1,3,4.6,1.4,0,1,6,8,6,7
93,5.8,2.6,4,1.2,0,3,3,4,4,3
94,5,2.3,3.3,1,0,3,3,7,8,10
95,5.6,2.7,4.2,1.3,0,3,3,4,4,3
96,5.7,3,4.2,1.2,0,3,3,4,4,3
97,5.7,2.9,4.2,1.3,0,3,3,4,4,3
98,6.2,2.9,4.3,1.3,0,1,1,5,7,8
99,5.1,2.5,3,1.1,0,3,3,7,8,10
100,5.7,2.8,4.1,1.3,0,3,3,4,4,3
101,6.3,3.3,6,2.5,2,2,2,0,0,4
102,5.8,2.7,5.1,1.9,0,1,6,1,5,6
103,7.1,3,5.9,2.1,2,4,4,6,2,0
104,6.3,2.9,5.6,1.8,2,2,2,0,9,11
105,6.5,3,5.8,2.2,2,2,2,0,0,4
106,7.6,3,6.6,2.1,2,4,4,6,2,0
107,4.9,2.5,4.5,1.7,0,3,3,4,4,3
108,7.3,2.9,6.3,1.8,2,4,4,6,2,0
109,6.7,2.5,5.8,1.8,2,2,2,0,9,11
110,7.2,3.6,6.1,2.5,2,4,4,6,2,0
111,6.5,3.2,5.1,2,2,2,2,0,9,5
112,6.4,2.7,5.3,1.9,2,2,2,0,9,11
113,6.8,3,5.5,2.1,2,2,2,0,9,5
114,5.7,2.5,5,2,0,1,6,1,5,6
115,5.8,2.8,5.1,2.4,0,1,6,1,5,6
116,6.4,3.2,5.3,2.3,2,2,2,0,0,4
117,6.5,3,5.5,1.8,2,2,2,0,9,11
118,7.7,3.8,6.7,2.2,2,4,4,6,2,0
119,7.7,3,6.9,2.3,2,4,4,6,2,0
120,6,2.2,5,1.5,0,1,6,1,5,6
121,6.9,3.2,5.7,2.3,2,2,2,0,0,4
122,5.6,2.8,4.9,2,0,1,6,1,5,6
123,7.7,2.8,6.7,2,2,4,4,6,2,0
124,6.3,2.7,4.9,1.8,0,1,6,1,5,6
125,6.7,3.3,5.7,2.1,2,2,2,0,0,4
126,7.2,3.2,6,1.8,2,4,4,6,2,0
127,6.2,2.8,4.8,1.8,0,1,6,1,5,6
128,6.1,3,4.9,1.8,0,1,6,1,5,6
129,6.4,2.8,5.6,2.1,2,2,2,0,9,11
130,7.2,3,5.8,1.6,2,4,4,6,2,0
131,7.4,2.8,6.1,1.9,2,4,4,6,2,0
132,7.9,3.8,6.4,2,2,4,4,6,2,0
133,6.4,2.8,5.6,2.2,2,2,2,0,9,11
134,6.3,2.8,5.1,1.5,0,1,6,1,5,6
135,6.1,2.6,5.6,1.4,2,2,2,0,9,11
136,7.7,3,6.1,2.3,2,4,4,6,2,0
137,6.3,3.4,5.6,2.4,2,2,2,0,0,4
138,6.4,3.1,5.5,1.8,2,2,2,0,9,11
139,6,3,4.8,1.8,0,1,6,1,5,6
140,6.9,3.1,5.4,2.1,2,2,2,0,9,5
141,6.7,3.1,5.6,2.4,2,2,2,0,0,4
142,6.9,3.1,5.1,2.3,2,2,2,0,9,5
143,5.8,2.7,5.1,1.9,0,1,6,1,5,6
144,6.8,3.2,5.9,2.3,2,2,2,0,0,4
145,6.7,3.3,5.7,2.5,2,2,2,0,0,4
146,6.7,3,5.2,2.3,2,2,2,0,9,5
147,6.3,2.5,5,1.9,0,1,6,1,5,6
148,6.5,3,5.2,2,2,2,2,0,9,5
149,6.2,3.4,5.4,2.3,2,2,2,0,0,4
150,5.9,3,5.1,1.8,0,1,6,1,5,6
